,Model,Train R-square,Test R-square,Train MSE,Test MSE,Train MAE,Test MAE,Train MAPE,Test MAPE,Train Adj. R-square,Test Adj. R-square,Cross_Validation_Scores_for_trainset
0,Random Forest,0.9848683837823057,0.8040493139177254,23.481044735783378,308.56006854691367,2.6539005237220827,7.321638406516888,2.872558146225053,6.731899897774703,0.9831005732645222,0.740742169183452,"[0.9155751236556796, 0.878746056219521, 0.8563905858369942, 0.8121204366533614, 0.8755486006332424]"
1,XG Boost Regressor,0.9994943854583925,0.8710543852532389,0.7846060526345746,203.0483716111043,0.4678663375205393,6.694331610959068,0.3842349369850728,6.693229673312259,0.9994353150529752,0.8293950327965929,"[0.8954981844392614, 0.9013234070211129, 0.9336629548375932, 0.8909024883501273, 0.9005737559580215]"
2,Linear Regression,0.6316482594351436,-2.5899344034916996e+21,571.6034278342959,4.0783237509965466e+24,17.08287518008743,108725472030.24686,16.130784736443086,263003076967.1216,0.5886141200645623,-3.4266824415428645e+21,"[-48.940061236393525, -3.419040949926313e+55, -2.7094280134887658e+25, -3.4478876262606677e+59, -4.922658707390047e+56]"
3,Lasso Regression,0.6037840822908627,0.5230754191040403,614.8426945879403,751.004675284356,18.114142070647674,18.77908573306394,18.209130755962324,19.18382868480902,0.5574946009451498,0.3689920929684226,"[0.44462129647637105, 0.5361568899038414, 0.44612263419838893, 0.38142755213661406, 0.5952770613921168]"
4,Ridge Regression,0.6389068999827734,0.24828699035301505,560.3395640825468,1183.7091383639827,16.62612805406936,19.880352683172536,15.963284674670616,20.171154918984495,0.5967207798138623,0.005425864159373739,"[-0.39303667099443795, -0.05426420697538492, -0.3877702091831361, -0.3753888311335627, -0.9050064229917647]"
5,KNN Regressor,0.9484755668756819,0.7519507805950366,79.95494346223553,390.59870456624776,4.980787338152985,9.821963366231882,5.255471603814234,10.27082545631293,0.9424560225329243,0.6718118020180485,"[0.7612785171715253, 0.7237146051641457, 0.7939367792501427, 0.7858936643156264, 0.8106077512508723]"
