,Model,Train R-square,Test R-square,Train MSE,Test MSE,Train MAE,Test MAE,Train MAPE,Test MAPE,Train Adj. R-square,Test Adj. R-square,Cross_Validation_Scores_for_trainset
0,Random Forest,0.9844094979171121,0.8200775732198473,23.36457620217769,306.2224501782053,2.739056914700017,8.575260502580663,3.168308524833155,9.57271940716957,0.9825880762551336,0.7619487891831827,"[0.8335463199557411, 0.8761334980723383, 0.8942907887521705, 0.833579976227856, 0.9148783698816884]"
1,XG Boost Regressor,0.9998490780058676,0.8650184524901052,0.22617799053178272,229.7344524917526,0.25142568446469116,6.964811621446983,0.20077240323761195,7.692651848451095,0.9998314459509203,0.821409029448447,"[0.8759783529771875, 0.8979161942494895, 0.92422117003085, 0.9008037297615153, 0.8723381123536823]"
2,Linear Regression,0.656933789887427,-20.003483318914302,514.1333207841602,35747.28420072916,15.841449920676165,31.197339072888226,14.70324662620213,36.16415926728129,0.6168537319605061,-26.789224083486612,"[-2.3741182500165341e+27, 0.4822786808425312, -1.302524023739268e+58, -2.721382328490187e+27, -2.024302499514615e+28]"
3,Lasso Regression,0.618186993417282,-14.866339018349334,572.2008848628458,27004.022213938653,17.325704330955045,29.272680206431325,16.74318391740912,33.35521333871838,0.5735801887539325,-19.992387008892965,"[0.43428796190468777, 0.5436003692225948, 0.45191089298905585, 0.6760919869156516, 0.3702251013714406]"
4,Ridge Regression,0.6564949270106621,-19.812043190131103,514.7910189822019,35421.45897511649,15.844258286992071,30.76920535032171,14.643260403425543,35.372365813380654,0.616363597203841,-26.53593406694269,"[-0.7398158976912856, -0.5241434689379558, 0.2611445976614837, 0.4689716284914581, 0.38056719882579704]"
5,KNN Regressor,0.9424736356580409,0.8047772265493611,86.21140718599442,332.2631707812972,4.930930115055971,10.05909682178261,5.11952068558456,10.670490464243445,0.9357528921187855,0.7417052535883855,"[0.6715708803663084, 0.7680078718441434, 0.7577517984854167, 0.8155157593704863, 0.8375278505403947]"
