,Model,Train Accuracy,Test Accuracy,Train Precision,Test Precision,Train Recall,Test Recall,Train F1_score,Test F1_score,Train AUC_ROC,Test AUC_ROC,Cross_Validation_Scores_for_trainset
0,Logistic Regression,0.7068181818181818,0.6790123456790124,0.6786389413988658,0.6504424778761062,0.6232638888888888,0.588,0.6497737556561086,0.6176470588235293,0.6973846326164874,0.6693943217665616,"[0.6666666666666666, 0.6704545454545454, 0.6742424242424242, 0.7007575757575758, 0.6893939393939394]"
1,Support Vector Classifier,0.7575757575757576,0.7319223985890653,0.7549800796812749,0.7355769230769231,0.6579861111111112,0.612,0.7031539888682746,0.6681222707423582,0.746331765232975,0.7192492113564669,"[0.7234848484848485, 0.6136363636363636, 0.7348484848484849, 0.7386363636363636, 0.6856060606060606]"
2,NuSVC,0.8462121212121212,0.7707231040564374,0.8434622467771639,0.7542372881355932,0.7951388888888888,0.712,0.8185880250223414,0.7325102880658436,0.8404457885304659,0.7645173501577287,"[0.7537878787878788, 0.7196969696969697, 0.7651515151515151, 0.7462121212121212, 0.7121212121212122]"
3,SGD Classifier,0.6742424242424242,0.6349206349206349,0.6241496598639455,0.5863453815261044,0.6371527777777778,0.584,0.6305841924398625,0.5851703406813628,0.6700548835125447,0.6295394321766562,"[0.625, 0.6818181818181818, 0.6590909090909091, 0.6325757575757576, 0.5568181818181818]"
4,KNeighbors Classifier,0.7712121212121212,0.7336860670194003,0.7584905660377359,0.7239819004524887,0.6979166666666666,0.64,0.7269439421338156,0.6794055201698515,0.7629368279569891,0.7237854889589906,"[0.7007575757575758, 0.7196969696969697, 0.7272727272727273, 0.696969696969697, 0.7159090909090909]"
5,Gradient Boosting Classifier,0.8583333333333333,0.7707231040564374,0.852994555353902,0.75,0.8159722222222222,0.72,0.834072759538598,0.7346938775510204,0.8535506272401434,0.7653627760252366,"[0.7954545454545454, 0.7310606060606061, 0.7803030303030303, 0.7840909090909091, 0.7992424242424242]"
6,Adaboost Classifier,0.7257575757575757,0.6966490299823633,0.7011278195488722,0.6666666666666666,0.6475694444444444,0.624,0.6732851985559566,0.6446280991735537,0.7169298835125448,0.6889716088328076,"[0.6628787878787878, 0.678030303030303, 0.7234848484848485, 0.7386363636363636, 0.7234848484848485]"
7,Random Forest Classifier,0.9340909090909091,0.7724867724867724,0.9822485207100592,0.8009950248756219,0.8645833333333334,0.644,0.9196675900277008,0.7139689578713968,0.9262432795698926,0.7589085173501577,"[0.7878787878787878, 0.7651515151515151, 0.7575757575757576, 0.7348484848484849, 0.7348484848484849]"
8,XGB Classifier,0.8689393939393939,0.7848324514991182,0.8697247706422019,0.7601626016260162,0.8229166666666666,0.748,0.8456735057983943,0.7540322580645162,0.8637432795698924,0.7809400630914828,"[0.7689393939393939, 0.7916666666666666, 0.7537878787878788, 0.7727272727272727, 0.7727272727272727]"
9,Decision Tree Classifier,0.793939393939394,0.6843033509700176,0.820675105485232,0.6606334841628959,0.6753472222222222,0.584,0.740952380952381,0.6199575371549894,0.7805499551971327,0.6737034700315457,"[0.6893939393939394, 0.696969696969697, 0.6931818181818182, 0.7121212121212122, 0.6893939393939394]"
10,Extra Trees Classifier,0.871969696969697,0.7442680776014109,0.9593679458239278,0.7837837837837838,0.7378472222222222,0.58,0.8341511285574091,0.6666666666666666,0.8568268369175628,0.7269085173501578,"[0.7462121212121212, 0.6590909090909091, 0.75, 0.75, 0.7462121212121212]"
11,Gaussian Naive Bayes,0.471969696969697,0.4691358024691358,0.45247446975648076,0.4537205081669691,1.0,1.0,0.6230394808004326,0.6242197253433208,0.5315860215053764,0.525236593059937,"[0.45075757575757575, 0.44696969696969696, 0.5113636363636364, 0.48484848484848486, 0.4621212121212121]"
