,Model,Train R-square,Test R-square,Train MSE,Test MSE,Train MAE,Test MAE,Train MAPE,Test MAPE,Train Adj. R-square,Test Adj. R-square,Cross_Validation_Scores_for_trainset
0,Random Forest,0.8879931356877628,0.9126641496711455,181.89133108809753,123.39615155492726,7.456614803896751,7.4753033423234125,6.413110924714391,6.699069914463697,0.8749074936818826,0.8844479518725925,"[0.8313443333105928, 0.8716091386622529, 0.7713695853891736, 0.796411582419227, 0.8998563773059544]"
1,XG Boost Regressor,0.9192966856742579,0.9278737791671107,131.0565504718499,101.90658296068487,6.424646733199651,6.457289241157411,5.339730612079848,5.889905459220588,0.9098682038893312,0.9045714616672541,"[0.8997324710230886, 0.8705079790916009, 0.8974604225738569, 0.8914876578933711, 0.8396456359702673]"
2,Linear Regression,-5.212921110335454e+23,-6.263645487179582e+23,8.465420092227022e+26,8.84985655846978e+26,18558091862879.387,18817842782900.15,15937646069307.889,15871743965373.477,-5.8219411009726975e+23,-8.287284798422216e+23,"[-2.6467016610941288e+26, -5.1045109756020555e+25, -2.3025232385236467e+26, -6.186431326692493e+26, 0.3499087275274657]"
3,Lasso Regression,0.5729215693365994,0.5658082144399647,693.5455671344474,613.466236066054,18.734725902159074,18.551545654804354,18.897447301058875,18.387597591530813,0.5230264536540881,0.4255308683359532,"[0.5872082540092906, 0.5557859145757769, 0.4746752109111446, 0.5152843654222826, 0.5604532814318794]"
4,Ridge Regression,0.5784068823025494,-1.1141012169486668,684.6378016779474,2986.9973577490387,17.90714768644951,20.044745443324516,17.63527111428768,19.945260233430204,0.5291526098594537,-1.797118533193621,"[-1.137762549760816, 0.4679811129708612, 0.12336500591708044, 0.5725885225052991, -0.03519454882216366]"
5,KNN Regressor,0.8721081001259253,0.8845547567925358,207.68752028119778,163.11169666847778,7.771409600310944,7.790406875942028,7.662045959456945,7.643286871927765,0.857166626427146,0.8472570628332012,"[0.8232570547679893, 0.6799901047431138, 0.8275365949516567, 0.7974260785141392, 0.8186210876336346]"
