,Model,Train Accuracy,Test Accuracy,Train Precision,Test Precision,Train Recall,Test Recall,Train F1_score,Test F1_score,Train AUC_ROC,Test AUC_ROC,Cross_Validation_Scores_for_trainset
0,Logistic Regression,0.7227272727272728,0.6525573192239859,0.7071290944123314,0.6043478260869565,0.6316695352839932,0.5673469387755102,0.6672727272727272,0.5852631578947368,0.7129930896988301,0.6423691215616683,"[0.7159090909090909, 0.6742424242424242, 0.7196969696969697, 0.7007575757575758, 0.7234848484848485]"
1,Support Vector Classifier,0.7916666666666666,0.7001763668430335,0.8445945945945946,0.7027027027027027,0.6454388984509466,0.5306122448979592,0.7317073170731707,0.6046511627906977,0.7760347401591674,0.6799023957409052,"[0.7007575757575758, 0.6477272727272727, 0.7121212121212122, 0.7159090909090909, 0.8106060606060606]"
2,NuSVC,0.9159090909090909,0.7283950617283951,0.9226618705035972,0.6872427983539094,0.882960413080895,0.6816326530612244,0.9023746701846965,0.6844262295081968,0.9123868371223148,0.7228039041703638,"[0.7840909090909091, 0.7272727272727273, 0.7954545454545454, 0.75, 0.7386363636363636]"
3,SGD Classifier,0.6484848484848484,0.6049382716049383,0.6416464891041163,0.559322033898305,0.45611015490533563,0.40408163265306124,0.5331991951710261,0.46919431279620855,0.6279197594553743,0.5809228039041703,"[0.6553030303030303, 0.5909090909090909, 0.6287878787878788, 0.6893939393939394, 0.625]"
4,KNeighbors Classifier,0.7893939393939394,0.7001763668430335,0.7800369685767098,0.6637554585152838,0.7263339070567987,0.6204081632653061,0.7522281639928698,0.6413502109704641,0.7826527451386834,0.6906388642413488,"[0.7386363636363636, 0.7386363636363636, 0.7613636363636364, 0.7386363636363636, 0.7159090909090909]"
5,Gradient Boosting Classifier,0.9106060606060606,0.7530864197530864,0.9171171171171171,0.7160493827160493,0.8760757314974182,0.710204081632653,0.8961267605633803,0.7131147540983607,0.906914726371172,0.7479591836734694,"[0.7613636363636364, 0.7878787878787878, 0.7954545454545454, 0.7537878787878788, 0.7916666666666666]"
6,Adaboost Classifier,0.7318181818181818,0.691358024691358,0.7113594040968343,0.6483050847457628,0.657487091222031,0.6244897959183674,0.6833631484794276,0.6361746361746361,0.7238720977084445,0.683362910381544,"[0.7575757575757576, 0.6515151515151515, 0.678030303030303, 0.7348484848484849, 0.7121212121212122]"
7,Random Forest Classifier,0.9371212121212121,0.7601410934744268,0.9770114942528736,0.7534883720930232,0.8777969018932874,0.6612244897959184,0.9247506799637353,0.7043478260869565,0.9307793711090253,0.7483141082519964,"[0.7916666666666666, 0.7727272727272727, 0.803030303030303, 0.7689393939393939, 0.7651515151515151]"
8,XGB Classifier,0.9015151515151515,0.7513227513227513,0.9168207024029574,0.7148760330578512,0.8537005163511188,0.7061224489795919,0.8841354723707665,0.7104722792607803,0.8964037087844904,0.7459183673469387,"[0.7803030303030303, 0.7878787878787878, 0.7462121212121212, 0.8143939393939394, 0.7727272727272727]"
9,Decision Tree Classifier,0.7416666666666667,0.7001763668430335,0.6840490797546013,0.6353790613718412,0.7676419965576592,0.7183673469387755,0.7234387672343878,0.6743295019157088,0.7444434610663804,0.7023513753327417,"[0.6704545454545454, 0.7045454545454546, 0.6515151515151515, 0.6704545454545454, 0.6893939393939394]"
10,Extra Trees Classifier,0.878030303030303,0.708994708994709,0.9751131221719457,0.7298850574712644,0.7418244406196214,0.5183673469387755,0.8426197458455523,0.6062052505966586,0.8634697304586605,0.6862023070097604,"[0.7689393939393939, 0.7840909090909091, 0.7878787878787878, 0.7234848484848485, 0.7310606060606061]"
11,Gaussian Naive Bayes,0.471969696969697,0.4691358024691358,0.45461658841940533,0.44871794871794873,1.0,1.0,0.6250672404518558,0.6194690265486726,0.5284167794316644,0.5326086956521738,"[0.5189393939393939, 0.4431818181818182, 0.4810606060606061, 0.42803030303030304, 0.48863636363636365]"
